State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
NEVADA,Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport,P-L,"28,244,966"
NEVADA,Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"2,377,780"
NEW HAMPSHIRE,Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"633,257"
NEW HAMPSHIRE,Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"100,298"
NEW JERSEY,Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"489,848"
NEW JERSEY,Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"24,544,320"
NEW JERSEY,Trenton,TTN,TTN,KTTN,Trenton–Mercer Airport,P-N,"241,950"
NEW MEXICO,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,690,218"
NEW MEXICO,Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,"26,212"
NEW MEXICO,Roswell,ROW,ROW,KROW,Roswell Air Center,P-N,"48,740"
NEW MEXICO,Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport,P-N,"180,248"
NEW YORK,Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,490,673"
NEW YORK,Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"24,496"
NEW YORK,Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-S,"2,499,295"
NEW YORK,Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"85,696"
NEW YORK,Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,"69,613"
NEW YORK,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"31,466,102"
NEW YORK,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"16,715,567"
NEW YORK,Islip / Brookhaven,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"682,804"
NEW YORK,Newburgh,SWF,SWF,KSWF,New York Stewart International Airport,P-N,"143,310"
NEW YORK,Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"59,119"
NEW YORK,Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport,P-N,"6,269"
NEW YORK,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"92,960"
NEW YORK,Rochester,ROC,ROC,KROC,Frederick Douglass/Greater Rochester International Airport,P-S,"1,331,837"
NEW YORK,Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"1,486,554"
NEW YORK,Watertown,ART,ART,KART,Watertown International Airport,P-N,"23,188"
NEW YORK,White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"1,182,394"
NORTH CAROLINA,Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,"1,096,465"
NORTH CAROLINA,Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport,P-L,"28,523,822"
NORTH CAROLINA,Concord,JQF,USA,KJQF,Concord–Padgett Regional Airport,P-N,"132,000"
NORTH CAROLINA,Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"168,117"
NORTH CAROLINA,Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"985,563"
NORTH CAROLINA,Greenville,PGV,PGV,KPGV,Pitt–Greenville Airport,P-N,"42,318"
NORTH CAROLINA,Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"145,901"
NORTH CAROLINA,New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"86,653"
NORTH CAROLINA,Raleigh,RDU,RDU,KRDU,Raleigh–Durham International Airport,P-M,"7,584,394"
NORTH CAROLINA,Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,"737,065"
NORTH DAKOTA,Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"295,900"
NORTH DAKOTA,Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,"26,146"
NORTH DAKOTA,Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,"552,860"
NORTH DAKOTA,Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"92,482"
NORTH DAKOTA,Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport,P-N,"9,516"
NORTH DAKOTA,Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"169,463"
NORTH DAKOTA,Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,"99,735"
OHIO,Akron / Canton,CAK,CAK,KCAK,Akron–Canton Airport,P-N,"380,232"
OHIO,Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,"4,950,345"
OHIO,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"4,387,395"
OHIO,Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"143,035"
OHIO,Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"624,995"
